Verse,Roots,Root_Count,Root_Names
262,"علم, فهم",2,"علم, فهم"
266,"علم, نظر",2,"علم, نظر"
287,"علم, نظر",2,"علم, نظر"
1149,"بصر, نظر",2,"بصر, نظر"
1152,"بصر, نظر",2,"بصر, نظر"
1328,"علم, فهم",2,"علم, فهم"
1403,"علم, نظر",2,"علم, نظر"
1407,"بصر, نظر",2,"بصر, نظر"
1672,"علم, وعي",2,"علم, وعي"
2041,"بصر, علم",2,"بصر, علم"
2065,"بصر, علم",2,"بصر, علم"
2159,"علم, نظر",2,"علم, نظر"
2166,"بصر, علم",2,"بصر, علم"
2458,"علم, فهم",2,"علم, فهم"
2507,"علم, فهم",2,"علم, فهم"
2511,"علم, فهم",2,"علم, فهم"
2562,"علم, فهم",2,"علم, فهم"
2671,"علم, فهم",2,"علم, فهم"
3714,"بصر, فهم",2,"بصر, فهم"
4496,"بصر, علم",2,"بصر, علم"
4675,"علم, وعي",2,"علم, وعي"
